Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.9086E-18,-3.7577E-18,0.57199,0,0,0,39.222,1.0521,-2.0159E-18,-3.0345E-18,1.0016,-4.5953E-17,0.1045,0,0,0,0,0,0,package://Run URDF/meshes/base_link.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://Run URDF/meshes/base_link.STL,,头-1;躯干-1,waist-yaw,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder-pitch-r,4.3591E-19,2.7756E-17,-0.14232,0,0,0,6.3152,0.055898,3.3087E-21,7.6066E-19,0.05583,9.4966E-19,0.0026781,0,0,0,0,0,0,package://Run URDF/meshes/shoulder-pitch-r.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://Run URDF/meshes/shoulder-pitch-r.STL,,大臂-1,shoulder-pitch-r,基准轴1,shoulder-pitch-r,revolute,0,-0.175,0.6,0,0,0,base_link,0,-1,0,0,0,-1.57,1.57,,,,,,,,
elbow-pitch-r,-2.3729E-18,0,-0.16991,0,0,0,5.3737,0.054667,-8.2201E-21,8.424E-20,0.054709,3.7839E-20,0.0016306,0,0,0,0,0,0,package://Run URDF/meshes/elbow-pitch-r.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://Run URDF/meshes/elbow-pitch-r.STL,,小臂-1,elbow-pitch-r,基准轴3,elbow-pitch-r,revolute,0,0,-0.3,0,0,0,shoulder-pitch-r,0,-1,0,0,0,0,2.09,,,,,,,,
shoulder-pitch-l,-4.3591E-19,0,-0.14232,0,0,0,6.3152,0.055898,3.3087E-21,-8.1523E-19,0.05583,-9.4966E-19,0.0026781,0,0,0,0,0,0,package://Run URDF/meshes/shoulder-pitch-l.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://Run URDF/meshes/shoulder-pitch-l.STL,,大臂-2,shoulder-pitch-l,基准轴2,shoulder-pitch-l,revolute,0,0.175,0.6,0,0,0,base_link,0,0,0,0,0,-1.57,1.57,,,,,,,,
elbow-pitch-l,2.4148E-18,2.7756E-17,-0.16991,0,0,0,5.3737,0.054667,-8.2201E-21,-1.3515E-19,0.054709,-3.3942E-20,0.0016306,0,0,0,0,0,0,package://Run URDF/meshes/elbow-pitch-l.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://Run URDF/meshes/elbow-pitch-l.STL,,小臂-2,elbow-pitch-l,基准轴4,elbow-pitch-l,revolute,0,0,-0.3,0,0,0,shoulder-pitch-l,0,-1,0,0,0,0,2.09,,,,,,,,
waist-yaw,-1.9224E-18,8.054E-18,-0.0242,0,0,0,4.4171,0.017921,-1.3235E-18,-4.5975E-19,0.0031594,9.9197E-19,0.018908,0,0,0,0,0,0,package://Run URDF/meshes/waist-yaw.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://Run URDF/meshes/waist-yaw.STL,,胯-1,waist-yaw,基准轴5,waist-yaw,revolute,0,0,0,0,0,0,base_link,0,0,1,0,0,-1.047,1.047,,,,,,,,
hip-roll-r,-1.4364E-08,6.9943E-08,1.1019E-07,0,0,0,0.64002,0.00018046,1.156E-10,9.9858E-11,0.00025371,3.6752E-10,0.00023919,0,0,0,0,0,0,package://Run URDF/meshes/hip-roll-r.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://Run URDF/meshes/hip-roll-r.STL,,腿装配-1/髋轴-1,hip-roll+yaw-r,基准轴6,hip-roll-r,revolute,0,-0.1,-0.025,0,0,0,waist-yaw,-1,0,0,0,0,0,1.047,,,,,,,,
hip-yaw-r,4.0405E-18,-1.3878E-17,-0.044957,0,0,0,0.76389,0.00057967,-2.8124E-20,-6.8997E-21,0.0005181,6.6174E-21,0.00034433,0,0,0,0,0,0,package://Run URDF/meshes/hip-yaw-r.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://Run URDF/meshes/hip-yaw-r.STL,,腿装配-1/髋-1,hip-roll+yaw-r,基准轴15,hip-yaw-r,revolute,0,0,0,0,0,0,hip-roll-r,0,0,0,0,0,-1.047,1.047,,,,,,,,
hip-pitch-r,-6.8557E-07,-1.249E-16,-0.175,0,0,0,5.5114,0.060149,4.4854E-20,-5.6114E-19,0.060232,-1.0459E-18,0.0016576,0,0,0,0,0,0,package://Run URDF/meshes/hip-pitch-r.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://Run URDF/meshes/hip-pitch-r.STL,,腿装配-1/大腿-1,hip-pitch-r,基准轴9,hip-pitch-r,revolute,4.4545E-05,0,-0.06,0,0,0,hip-yaw-r,0,-1,0,0,0,-1.57,1.57,,,,,,,,
knee-pitch-r,-4.4545E-05,-1.3878E-17,-0.17,0,0,0,5.5417,0.060812,6.6174E-20,-5.3953E-19,0.060689,-5.7841E-19,0.0019416,0,0,0,0,0,0,package://Run URDF/meshes/knee-pitch-r.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://Run URDF/meshes/knee-pitch-r.STL,,腿装配-1/小腿-1,knee-pitch-r,基准轴11,knee-pitch-r,revolute,0,0,-0.35,0,0,0,hip-pitch-r,0,1,0,0,0,0,2.44,,,,,,,,
